X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y,OBJECTID_1,allcats,nameUrlFriendly,isCounty
-118.185705000219,33.8446390002193,513,211,3034969,Public Safety,Sheriff and Police Stations,,www.longbeach.gov/police/,Long Beach Police Department - North Patrol Division,4891 Atlantic Ave.,,Long Beach,CA,"Monday through Sunday, 24 hour sper day. ","Service/Intake and Hotline (562) 570-9800, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,3034969,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90807,www.longbeach.gov/police/,publish,33.844639,-118.185705,2020/07/14 23:14:10+00,,6505278.49988661,1765893.05600963,0,|Public Safety|Sheriff and Police Stations|,long-beach-police-department---north-patrol-division,0
-118.126663199581,33.9413627398453,859,Current Services Locator,3038049,Public Safety,Sheriff and Police Stations,,LA County,Downey Police Department,10911 Brookshire Ave.,,Downey,CA,"Monday through Sunday, 24 hours per day.","FAX (562) 904-2384, Direct Dispatch - Emergency and Non-Emergency Service/Intake (562) 861-0771, Direct Dispatch - Emergency Number for Agencies Only Service/Intake (562) 904-236",,www.downeypd.org,,,3038049,The Department Provides Law Enforcement Services For The City Of Downey.,90241,www.downeypd.org,publish,33.94136274,-118.1266632,2020/07/14 23:14:48+00,,6523251.68848437,1801065.22956793,0,|Public Safety|Sheriff and Police Stations|,downey-police-department,0
-118.307637499749,33.8837265704262,1021,211,3039500,Public Safety,Sheriff and Police Stations,,www.gardenapd.org,City Of Gardena Police Department,1718 W 162Nd St,,Gardena,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 323-7911,  Service/Intake and Administration (310) 217-9670, Records Service/Intake (310) 217-9600, Custody Information Service/Intake (310) 217-9632",,http://www.gardenapd.org,,,3039500,The department provides law enforcement services for the city of Gardena.,90247,http://www.gardenapd.org,publish,33.88372657,-118.3076375,2020/07/14 23:14:10+00,,6468295.66524504,1780208.78320867,0,|Public Safety|Sheriff and Police Stations|,city-of-gardena-police-department,0
-118.091208000541,33.9464079998863,1218,211,3041264,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - Santa Fe Springs,10051 Orr and Day Rd.,,Santa Fe Springs,CA,,Service/Intake and Administration (562) 868-0503,,www.chp.ca.gov,,,3041264,The agency provides law enforcement for California highways.,90670,www.chp.ca.gov,publish,33.946408,-118.091208,2020/07/14 23:14:11+00,,6534007.39200166,1802889.65569385,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---santa-fe-springs,0
-117.969381000516,34.0659520003395,1939,211,3048031,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - Baldwin Park,14039 Francisquito Ave.,,Baldwin Park,CA,,Service/Intake and Administration (626) 338-1164,,www.chp.ca.gov,,,3048031,The agency provides law enforcement for California highways.,91706,www.chp.ca.gov,publish,34.065952,-117.969381,2020/07/14 23:14:11+00,,6570943.69279298,1846383.02392279,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---baldwin-park,0
-118.387566999606,33.8383629998504,2165,211,3050485,Public Safety,Sheriff and Police Stations,,www.redondo.org/police,Redondo Beach Police Department - Pier Sub Station,133 W. Torrance Blvd.,,Redondo Beach,CA,"Hours vary; contact the agency for site hours. ",Direct Dispatch - Non Emergency Number (desk officer) Service/Intake (310) 379-2477 Ext.1-2351,,www.redondo.org/police,,,3050485,The police department provides law enforcement services for residents of Redondo Beach.,90277,www.redondo.org/police,publish,33.838363,-118.387567,2020/07/14 23:14:16+00,,6443971.77520175,1763783.87171456,0,|Public Safety|Sheriff and Police Stations|,redondo-beach-police-department---pier-sub-station,0
-118.354325300287,33.9614764898994,2450,Current Services Locator,3052997,Public Safety,Sheriff and Police Stations,,LA County,Inglewood Police Department,1 Manchester Blvd.,,Inglewood,CA,"Monday through Thursday, 8:00am to 9:00pm; Friday, 8:00am to 4:00pm.","Administration Administrative (310) 412-5200, Community Affairs Service/Intake (310) 412-5530, 24 Hour Info/Front Desk Service/Intake (310) 412-5211, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 412-877",,cityofinglewood.org/depts/police/default.asp,,,3052997,The Agency Provides Law Enforcement Services For The City Of Inglewood.,90301,cityofinglewood.org/depts/police/default.asp,publish,33.96147649,-118.3543253,2020/07/14 23:14:42+00,,6454224.69453518,1808550.22638878,0,|Public Safety|Sheriff and Police Stations|,inglewood-police-department,0
-118.167966999723,34.0447499997558,2613,211,3054639,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - East Los Angeles,1601 Corporate Center Dr.,,Monterey Park,CA,,Service/Intake and Administration (323) 980-4600,,www.chp.ca.gov,,,3054639,The agency provides law enforcement for California highways.,91754,www.chp.ca.gov,publish,34.04475,-118.167967,2020/07/14 23:14:11+00,,6510786.56844489,1838708.3035924,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---east-los-angeles,0
-117.865451299553,34.1350576100149,2855,HSIP Freedom Manual,3056816,Public Safety,Sheriff and Police Stations,,LA County,Glendora Police Department,150 S Glendora Ave,,Glendora,CA,24 hours,Phone: (626) 914-8250 - Fax (626) 963-2154,police@glendorapd.org,http://www.ci.glendora.ca.us/index.aspx?page=47,,,3056816,Overview  The Department Provides Law Enforcement Services For The City Of Glendora.,91741,http://www.ci.glendora.ca.us/index.aspx?page=47,publish,34.13505761,-117.8654513,2020/07/14 23:14:36+00,,6602386.4262037,1871557.69121095,0,|Public Safety|Sheriff and Police Stations|,glendora-police-department,0
-118.168643999738,34.1820159996528,2899,211,3057090,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - Altadena Office,2130 Windsor Ave.,,Altadena,CA,,Service/Intake and Administration (626) 296-8100,,www.chp.ca.gov,,,3057090,The agency provides law enforcement for California highways.,91001,www.chp.ca.gov,publish,34.182016,-118.168644,2020/07/14 23:14:11+00,,6510665.28686792,1888662.2368583,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---altadena-office,0
-118.438624000375,34.2827799996768,3366,211,3068922,Public Safety,Sheriff and Police Stations,,www.ci.san-fernando.ca.us/city_government/departments/police/index.shtml,City Of San Fernando Police Department,910 First St.,,San Fernando,CA,"Monday through Sunday, 24 hours per day. ",Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (818) 898-1267,,www.ci.san-fernando.ca.us/city_government/departments/police/index.shtml,,,3068922,The department provides law enforcement services and a variety of crime prevention programs for residents of the city of San Fernando.,91340,www.ci.san-fernando.ca.us/city_government/departments/police/index.shtml,publish,34.28278,-118.438624,2020/07/14 23:14:07+00,,6429172.3230785,1925578.38250466,0,|Public Safety|Sheriff and Police Stations|,city-of-san-fernando-police-department,0
-118.352742999625,33.9190340002104,3367,211,3068923,Public Safety,Sheriff and Police Stations,,www.cityofhawthorne.com/depts/police/,City Of Hawthorne Police Department,12501 S. Hawthorne Blvd.,,Hawthorne,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 675-4443, Front Desk/General Business/Juvenile Srvs. Service/Intake (310) 349-2700",,www.cityofhawthorne.com/depts/police/,,,3068923,The department provides law enforcement services for residents of the City of Hawthorne.,90250,www.cityofhawthorne.com/depts/police/,publish,33.919034,-118.352743,2020/07/14 23:14:07+00,,6454650.30667147,1793102.87364088,0,|Public Safety|Sheriff and Police Stations|,city-of-hawthorne-police-department,0
