,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Latitude,Longitude
255,0003215362-0001-1,DHB CONSULTING,,21812   MARTINEZ STREET,WOODLAND HILLS,91364-1707,21812 MARTINEZ 91364,21812   MARTINEZ STREET,WOODLAND HILLS,91364-1707,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,07/17/2017,,"(34.1621, -118.604)",34.1621,-118.604
259,0003215032-0001-6,CHRISTIAN CONTRERAS ARELLANO,OSO'S GRILL,13631 PENN STREET APT #D,WHITTIER,90602-1841,13631 Penn 90602-1841,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,10/07/2020,,"(33.9757, -118.0299)",33.9757,-118.0299
360,0002700545-0001-4,JINHONG KIM,KIMBOBREX,3414 MONTROSE AVENUE    #6,GLENDALE,91214-4113,3414 MONTROSE 91214-4113,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,09/05/2013,,"(34.2245, -118.2539)",34.2245,-118.2539
381,0003112453-0001-3,MAMA OAT,,538   BROOKS AVENUE   APT #1,VENICE,90291-3089,538 BROOKS 90291,617 CRESTMOORE PLACE APT #A,VENICE,90291-4874,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,01/01/2019,,"(33.9947, -118.4696)",33.9947,-118.4696
434,0002870488-0001-4,BAKERY N 1 INC,N.1 BAKERY,5117 SANTA MONICA BLVD,LOS ANGELES,90029-2413,5117 SANTA MONICA 90029-2413,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,12/02/2015,,"(34.0908, -118.3013)",34.0908,-118.3013
836,0002974792-0001-0,CASA ADO LLC,,12   WASHINGTON BLVD,MARINA DEL REY,90292-5124,12 WASHINGTON 90292-5124,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,10/01/2015,,"(33.9791, -118.4663)",33.9791,-118.4663
853,0002872841-0001-5,MAMA'S FLAVORS LLC,,22563 FLAMINGO STREET,WOODLAND HILLS,91364-4917,22563 FLAMINGO 91364-4917,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,10/09/2015,,"(34.1477, -118.6177)",34.1477,-118.6177
939,0002092378-0001-6,GOTO@SILOG LLC,GOTO @ SILOG,14650   ROSCOE BLVD   SUITE #4,PANORAMA CITY,91402-4149,14650 ROSCOE 91402-4149,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,02/01/2006,,"(34.221, -118.4519)",34.221,-118.4519
1071,0003203797-0001-7,WAFFLECOMB,,9135 RESEDA BLVD    #A,NORTHRIDGE,91324-3050,9135 Reseda 91324-3050,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,07/21/2020,,"(34.2365, -118.5362)",34.2365,-118.5362
1727,0002840137-0001-8,CEIBO FOODS INC,,11922 VALERIO STREET,NORTH HOLLYWOOD,91605-3734,11922 VALERIO 91605-3734,12807 SHERMAN WAY #1043,NORTH HOLLYWOOD,91605-5034,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,01/01/2015,,"(34.2048, -118.3926)",34.2048,-118.3926
