X,Y,OBJECTID,MetroLine,Station,StopNumber,TOOLTIP,NLA_URL
-118.19292099988,33.768070999739,1,Blue Line,Downtown Long Beach Station,80101,Stop: Downtown Long Beach Station\nStop No: 80101\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.19369999947,33.7722580000581,2,Blue Line,Pacific Ave Station,80102,Stop: Pacific Ave Station\nStop No: 80102\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.189384000152,33.7818300003661,3,Blue Line,Anaheim Street Station,80105,Stop: Anaheim Street Station\nStop No: 80105\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.189382000094,33.7890899999179,4,Blue Line,Pacific Coast Hwy Station,80106,Stop: Pacific Coast Hwy Station\nStop No: 80106\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.189833999795,33.8070790000511,5,Blue Line,Willow Street Station,80107,Stop: Willow Street Station\nStop No: 80107\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.196089999873,33.8198650004208,6,Blue Line,Wardlow Station,80108,Stop: Wardlow Station\nStop No: 80108\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.211017000401,33.8482220001909,7,Blue Line,Del Amo Station,80109,Stop: Del Amo Station\nStop No: 80109\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.222503000242,33.8760820000881,8,Blue Line,Artesia Station,80110,Stop: Artesia Station\nStop No: 80110\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.224248999995,33.8974900001615,9,Blue Line,Compton Station,80111,Stop: Compton Station\nStop No: 80111\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.23755500026,33.9280479998457,10,Blue Line,Willowbrook - Rosa Parks Station - Metro Blue Line,80112,Stop: Willowbrook - Rosa Parks Station - Metro Blue Line\nStop No: 80112\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.243158999728,33.9422200003229,11,Blue Line,103rd Street / Watts Towers  Station,80113,Stop: 103rd Street / Watts Towers  Station\nStop No: 80113\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.243204999908,33.9596109998168,12,Blue Line,Firestone Station,80114,Stop: Firestone Station\nStop No: 80114\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.243270999678,33.9737400000528,13,Blue Line,Florence Station,80115,Stop: Florence Station\nStop No: 80115\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.24339800005,33.9887600002338,14,Blue Line,Slauson Station,80116,Stop: Slauson Station\nStop No: 80116\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.243303000358,34.0029200003127,15,Blue Line,Vernon Station,80117,Stop: Vernon Station\nStop No: 80117\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.243084000017,34.0196499998242,16,Blue Line,Washington Station,80118,Stop: Washington Station\nStop No: 80118\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.255505000111,34.0268070000052,17,Blue Line,San Pedro Street Station,80119,Stop: San Pedro Street Station\nStop No: 80119\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.269332999936,34.0331550000692,18,Blue Line,Grand / LATTC Station,80120,Stop: Grand / LATTC Station\nStop No: 80120\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.266118000206,34.040735000326,19,Blue Line,Pico Station,80121,Stop: Pico Station\nStop No: 80121\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.258822000426,34.0486099998702,20,Blue Line,7th St / Metro Center Station - Metro Blue & Expo Lines,80122,Stop: 7th St / Metro Center Station - Metro Blue & Expo Lines\nStop No: 80122\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.27360299981,34.0291120003481,21,Expo Line,LATTC / Ortho Institute Station,80123,Stop: LATTC / Ortho Institute Station\nStop No: 80123\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.278118000012,34.0221230004164,22,Expo Line,Jefferson / USC Station,80124,Stop: Jefferson / USC Station\nStop No: 80124\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.285734000044,34.0182270003544,23,Expo Line,Expo Park / USC Station,80125,Stop: Expo Park / USC Station\nStop No: 80125\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.291540000167,34.0182450003527,24,Expo Line,Expo / Vermont Station,80126,Stop: Expo / Vermont Station\nStop No: 80126\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.308909999993,34.0183309999333,25,Expo Line,Expo / Western Station,80127,Stop: Expo / Western Station\nStop No: 80127\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.335078000228,34.0225259998206,26,Expo Line,Expo / Crenshaw Station,80128,Stop: Expo / Crenshaw Station\nStop No: 80128\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.346095000196,34.023981000038,27,Expo Line,Farmdale Station,80129,Stop: Farmdale Station\nStop No: 80129\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.355159000441,34.0248030003549,28,Expo Line,Expo / La Brea Station,80130,Stop: Expo / La Brea Station\nStop No: 80130\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.372119999734,34.0263550001109,29,Expo Line,La Cienega / Jefferson Station,80131,Stop: La Cienega / Jefferson Station\nStop No: 80131\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.388985999901,34.0278959999698,30,Expo Line,Culver City Station,80132,Stop: Culver City Station\nStop No: 80132\nExpo Line,"http://www.metro.net/riding/maps/expo-line/?nla_target=1&nla_win=p,75,75"
-118.189362000411,33.7687400003754,31,Blue Line,1st Street Station,80153,Stop: 1st Street Station\nStop No: 80153\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.189412000351,33.7735979995706,32,Blue Line,5th Street Station,80154,Stop: 5th Street Station\nStop No: 80154\nBlue Line,"http://www.metro.net/riding/maps/blue-line/?nla_target=1&nla_win=p,75,75"
-118.376808000217,34.1685039997924,33,Red Line,North Hollywood Station,80201,Stop: North Hollywood Station\nStop No: 80201\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.362698999822,34.1400020002959,34,Red Line,Universal / Studio City Station,80202,Stop: Universal / Studio City Station\nStop No: 80202\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.338548999821,34.1015469997241,35,Red Line,Hollywood / Highland Station,80203,Stop: Hollywood / Highland Station\nStop No: 80203\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.325180000136,34.1016300000541,36,Red Line,Hollywood / Vine Station,80204,Stop: Hollywood / Vine Station\nStop No: 80204\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.308117000232,34.1017370001355,37,Red Line,Hollywood / Western Station,80205,Stop: Hollywood / Western Station\nStop No: 80205\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.291755999978,34.0977080002023,38,Red Line,Vermont / Sunset Station,80206,Stop: Vermont / Sunset Station\nStop No: 80206\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.291730000417,34.089909999774,39,Red Line,Vermont / Santa Monica Station,80207,Stop: Vermont / Santa Monica Station\nStop No: 80207\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.291686000283,34.0765259999713,40,Red Line,Vermont / Beverly Station,80208,Stop: Vermont / Beverly Station\nStop No: 80208\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.29008199954,34.062701000024,41,Red Line,Wilshire / Vermont Station,80209,Stop: Wilshire / Vermont Station\nStop No: 80209\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.274879000275,34.0563679997279,42,Red Line,Westlake / MacArthur Park Station,80210,Stop: Westlake / MacArthur Park Station\nStop No: 80210\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.25868200002,34.0486340001798,43,Red Line,7th St / Metro Center Station - Metro Red & Purple Lines,80211,Stop: 7th St / Metro Center Station - Metro Red & Purple Lines\nStop No: 80211\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.251258999628,34.049316000343,44,Red Line,Pershing Square Station,80212,Stop: Pershing Square Station\nStop No: 80212\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.246057000437,34.0549000003663,45,Red Line,Civic Center / Grand Park Station,80213,Stop: Civic Center / Grand Park Station\nStop No: 80213\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.234249000188,34.0561969995669,46,Red Line,Union Station - Metro Red & Purple Lines,80214,Stop: Union Station - Metro Red & Purple Lines\nStop No: 80214\nRed Line,"http://www.metro.net/riding/maps/red-line/?nla_target=1&nla_win=p,75,75"
-118.301457999966,34.0617530004092,47,Purple Line,Wilshire / Normandie Station,80215,Stop: Wilshire / Normandie Station\nStop No: 80215\nPurple Line,"http://www.metro.net/riding/maps/purple-line/?nla_target=1&nla_win=p,75,75"
-118.308756000522,34.0616889998001,48,Purple Line,Wilshire / Western Station,80216,Stop: Wilshire / Western Station\nStop No: 80216\nPurple Line,"http://www.metro.net/riding/maps/purple-line/?nla_target=1&nla_win=p,75,75"
-118.369196000208,33.8946399999144,49,Green Line,Redondo Beach Station,80301,Stop: Redondo Beach Station\nStop No: 80301\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
